"Codigo","Criterios","CantCriterios"
"0400860","Foreign,StockMin,RepStkMin","3"
"100001490102","Excel,Foreign,StockMin","3"
"100001490103","Excel,Foreign,StockMin","3"
"100001490104","Excel","1"
"101801300400","Excel","1"
"106501520000","Excel","1"
"106501610000","Excel","1"
"124001040192","Foreign","1"
"124025060500","StockMin","1"
"124029061000","StockMin","1"
"125030000000","StockMin","1"
"125060000000","Excel,Foreign,StockMin","3"
"126400000000","StockMin","1"
"126400100000","StockMin","1"
"12900100000000","Excel,Excel","2"
"12900200000000","Excel","1"
"12920000000000","Excel","1"
"12920100000000","Excel","1"
"12920200000000","Excel","1"
"12920300000000","Excel","1"
"12940060000000","Excel","1"
"12940100000000","Excel","1"
"12940200000000","Excel","1"
"12940300000000","Excel","1"
"12981010000000","Excel,Excel","2"
"12981020000000","Excel,Excel","2"
"130010000000","StockMin","1"
"130020000000","Excel,Foreign,StockMin","3"
"130030000000","Excel,Foreign,StockMin","3"
"130060000000","Excel,StockMin","2"
"130070000000","Excel,Foreign,StockMin","3"
"130080000000","Excel,StockMin","2"
"130090000000","Excel,Foreign,StockMin,Formula","4"
"130100000000","Excel,StockMin","2"
"130110000000","Excel,StockMin","2"
"140015000000","Excel","1"
"140022000000","Foreign,StockMin","2"
"140032000000","Foreign,StockMin","2"
"140038000000","Excel,StockMin","2"
"140041000000","StockMin","1"
"140045000000","Excel,StockMin","2"
"140055000000","Excel,Foreign,StockMin","3"
"140070000000","Excel,StockMin","2"
"140080000000","Excel,StockMin","2"
"140090002263","Foreign","1"
"140090003927","Excel,Foreign,StockMin","3"
"140090055493","Excel,Foreign,StockMin","3"
"140090060000","Foreign","1"
"140090062000","Foreign","1"
"140090070000","Foreign","1"
"140090071000","Foreign","1"
"140090226698","Excel,Foreign,StockMin","3"
"150001000000","Foreign","1"
"150003000000","Excel,Foreign,StockMin","3"
"152036000000","StockMin","1"
"152045000000","Excel,Foreign,StockMin","3"
"153051000000","StockMin","1"
"154019000000","StockMin,Formula","2"
"155000000000","Excel,Foreign,StockMin","3"
"155015800000","StockMin","1"
"155044000000","StockMin","1"
"156004500200","Foreign","1"
"157040100000","Foreign","1"
"157040200000","Excel,Foreign,StockMin","3"
"157040300000","Excel,Foreign,StockMin,Formula","4"
"157040400000","Foreign","1"
"157040500000","Excel,Foreign,StockMin","3"
"157040520000","Foreign","1"
"158027000000","StockMin,Formula","2"
"158080001000","StockMin","1"
"158081000000","Excel,Foreign,StockMin","3"
"158090100000","Foreign","1"
"158090200000","Foreign","1"
"158090300000","Excel,Foreign,StockMin","3"
"158090400000","Excel,Foreign,StockMin","3"
"158090500000","Foreign","1"
"158090600000","Excel,Foreign,StockMin","3"
"158090700000","Excel,Foreign,StockMin","3"
"158090800000","Excel,Foreign,StockMin","3"
"158090900000","Foreign","1"
"158090910000","Excel,Foreign,StockMin","3"
"158091000000","Excel,Foreign","2"
"158200100000","Excel,Foreign,StockMin","3"
"158200200000","Excel,Foreign,StockMin","3"
"158200300000","Excel,Foreign,StockMin,Formula","4"
