"Codigo","Nombre","TipoArticulo","Clase","TipoComponente","Proveedor","ProveedorPais","StockMinimo","Plazo","UnidadStock","ConsumoPromedio","StockExistencia","AlertaCobertura","CoberturaMeses"
"150003000000","ABS NOVODUR HD M203FC","matpri","ABS","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","300","0","Kg","57.35","770.6","OK","13.4"
"248980060100","RACOR LL SEP. CH 3-6 AZUL","matpri","ADAPTADOR","Obligatorio","ELECTROPLAST S.A.","UY","1","0","und","33.73",,"Atencion",
"801838000000","AG GRA G 18X1 1/2 (SHANDONG/SAKIRA)","matpri","AGUJA","Obligatorio","Weigao Medical International Co., Ltd","CN","30000","0","und","9089.86","122793","OK","13.5"
"267300050300","AL.ACERO 0.5X300","matpri","ALAMBRE (DIRECTO)","No es Componente","ELECTROPLAST S.A.","UY","500","0","und","1200",,"Atencion",
"267022000000","ALAM.ACERO(PUNTA SELD.)1.3X400 4310","consu","ALAMBRE (INDIRECTO)","No es Componente","ELECTROPLAST S.A.","UY","100","0","und","12.5","142","OK","11.4"
"267431005036","AL. ACERO 0.50X365 4310","consu","ALAMBRE (INDIRECTO)","No es Componente","ELECTROPLAST S.A.","UY","29","0","und","100",,"PEDIR",
"267431005425","AL. ACERO 0.5X425 4310","consu","ALAMBRE (INDIRECTO)","No es Componente","ELECTROPLAST S.A.","UY","400","0","und","608",,"PEDIR",
"267021000000","ALAMBRE ACERO SELDIN- 0.49X400 4310","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","25000","0","und","5347.33","8660","Atencion","1.6"
"267092001988","ALAMBRE  0,3 x 709 ACERO 4310 - EPFLEX 92001988","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","315.8",,"PEDIR",
"267092001989","ALAMBRE  0,4 x 709 ACERO 4310 - EPFLEX 92001989","matpri","ALAMBRE P/MANDRIL","No es Componente","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","887.5",,"PEDIR",
"267092001990","ALAMBRE  0,5 x 709 ACERO 4310 - EPFLEX 92001990","matpri","ALAMBRE P/MANDRIL","No es Componente","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","264",,"PEDIR",
"267092001991","ALAMBRE  0,2 x 850 ACERO 4310 - EPFLEX 92001991","matpri","ALAMBRE P/MANDRIL","No es Componente","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","275","40","PEDIR","0.1"
"267092730130","ALAMBRE 0.3X850  92730130","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","7000","0","und","4000",,"PEDIR",
"267092730140","ALAMBRE 0.4X850  92730140","matpri","ALAMBRE P/MANDRIL","Obligatorio","GIESSER","DE","2000","0","und",,,"PEDIR",
"267092770010","ALAMBRE 1.0X370  92770010","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","600","0","und","97.79",,"PEDIR",
"267092770020","ALAMBRE 1.5X420  92770020","matpri","ALAMBRE P/MANDRIL","Obligatorio","ELECTROPLAST S.A.","UY","500","0","und","10",,"PEDIR",
"267092770030","ALAMBRE 1.5X470  92770030","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","176",,"PEDIR",
"640009000000","ALCOHOL ETILICO (L) - RECTIFICADO","matpri","ALCOHOL","No Obligatorio","NORTESUR S.A.","UY","400","0","l","224.53","310","OK","1.4"
"640013000000","ALCOHOL ISOPROPILICO","matpri","ALCOHOL","No Obligatorio","DROGUERIA IND. URUGUAYA","UY","10","0","l","5.46","20.02","OK","3.7"
"267431040411","ALAM.0.4X975  4310-040411","matpri","Alma","No es Componente","ELECTROPLAST S.A.","UY","150","0","und",,,"Atencion",
"267680102810","ALMA (.028"") X 100CM - 21004431","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","500","0","und","456.56","2395","OK","5.2"
"267680103510","ALMA (.035"") X 100CM - 28003041","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","600","0","und","450.07","3135","OK","7"
"267680103515","ALMA (.035"") X 150CM - 27002724","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","4000","0","und","926.75","5251","OK","5.7"
"267680103810","ALMA (.038"") X100CM - 29003370","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","120","0","und","185.7","10","PEDIR","0.1"
"267680103815","ALMA (.038"") X150CM","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","300","0","und","194.2","3779","OK","19.5"
"267682102810","ALMA (.028"") X 150CM (Ø:0,35MM) - 28 00 30 42","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","600","0","und","535.53","1465","Atencion","2.7"
"232001000000","BAN. ALUM. 0.35X55MM (KG)   B00180","matpri","ALUMINIO","Obligatorio","ALUMINIO DEL URUGUAY SA","UY","150","0","Kg","46.94","146.5","OK","3.1"
"640020000000","PREPARADO LIMP. CORATEX (P/EXTRUD.)","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","1","0","und","1","4","OK","4"
"650001000000","LIMPIADOR EN CREMA CIF","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","4","0","und","3.7","2","Atencion","0.5"
"651001000000","HIPOCLORITO DE SODIO  40G/L COMERC.","consu","ART. LIMPIEZA","No Obligatorio","SPARTAN DE  URUGUAY","UY","20","0","l","25.02","70.5","OK","2.8"
"651002000000","JABON LIQUIDO   (DEXTROL)     (L)","consu","ART. LIMPIEZA","No es Componente","CONTROL´S LTDA.","UY","10","0","l","9.62","10","Atencion","1"
"651003000000","JABON P/MANOS (AROMA COCO)","consu","ART. LIMPIEZA","No es Componente","DROGUERIA IND. URUGUAYA","UY","12","0","l","14.23","19","OK","1.3"
"651004000000","JABON ROSADO (p/manos)","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","1","0","l","1.04",,"PEDIR",
"651005000000","JABON DE COCO (BARRA)250G","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","1","0","und","2.08","4","OK","1.9"
"651015010000","DETERGENTE T P","matpri","ART. LIMPIEZA","Obligatorio","DROGUERIA IND. URUGUAYA","UY","0.5","0","l","0.32","1","OK","3.1"
"651015020000","LIMPIADOR FABULOSO","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","2","0","und",,,"PEDIR",
"651015040000","MARINE FRESCH (DESINFECTANTE)","matpri","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","20","0","l","19.52","50","OK","2.6"
"651018000000","LIMPIADOR VIDRIOS OK (REPUESTO)","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","1","0","und","1.73","3","OK","1.7"
"651019000000","CLEAN BY PEROXY (ML)","matpri","ART. LIMPIEZA","No Obligatorio","SPARTAN DE  URUGUAY","UY","5","0","ml","5555.56","15000","OK","2.7"
"651019100000","PEROXY REMOVEL","matpri","ART. LIMPIEZA","No Obligatorio","SPARTAN DE  URUGUAY","UY","40000","0","ml","35546.88","20000","Atencion","0.6"
"651020000000","ALVFRESH (ALVEJANTE) (ML)","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","5000","0","ml","8727.27","10000","Atencion","1.1"
"651021000000","SOFTFRESH (APRESTO) (ML)","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","5000","0","ml","6122.45","15000","OK","2.4"
"651022000000","BLDFRESH (DETERGENTE) (ML)","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","5000","0","ml","6960.78","35000","OK","5"
"652001000000","ESCOBAS               (U)","consu","ART. LIMPIEZA","No es Componente","FERRETERIA ""LITO""","UY","2","0","und","1.76","1","Atencion","0.6"
"652002000000","LAMPAZO C/MANGO  (U)","consu","ART. LIMPIEZA","No es Componente","FERRETERIA ""LITO""","UY","1","0","und","1",,"PEDIR",
"652006000000","BOLSA NEGRA P/RESIDUOS (rollo.)","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","1","0","rol","2.25","14","OK","6.2"
"652006100000","BOLSA BLANCA P/RESIDUOS","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","1","0","und",,,"PEDIR",
"652006200000","BOLSA NEGRA P/RESIDUOS 1x1,20m","matpri","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","10","0","Kg","14.49","13.52","Atencion","0.9"
"653003000000","REJILLAS P/LIMPIEZA   (U)","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","1","0","und","1","5","OK","5"
"653004000000","TRAPOS DE PISO BLANCOS (U)","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","4","0","und","5.05","20","OK","4"
"653006000000","PALAS PLAST.LIMP.","consu","ART. LIMPIEZA","No es Componente","ELECTROPLAST S.A.","UY","1","0","und","1.22","1","Atencion","0.8"
"653008000000","PAÑOS REGULAR ROLL 3021012","consu","ART. LIMPIEZA","No es Componente","D´ALENE S.A.","UY","4","0","rol","3.95","8","OK","2"
