"Codigo","Nombre","TipoArticulo","Clase","TipoComponente","Proveedor","ProveedorPais","StockMinimo","Plazo","UnidadStock","ConsumoPromedio","StockExistencia","AlertaCobertura","CoberturaMeses"
"150001000000","ABS TERLURAN HI-10 NATUR","matpri","ABS","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","0","0","Kg","3.3",,"PEDIR",
"150003000000","ABS NOVODUR HD M203FC","matpri","ABS","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","300","0","Kg","57.35","770.6","OK","13.4"
"247556000000","ADAPTADOR LUER LOCK ALIMENTACION ENTERAL","matpri","ADAPTADOR","Obligatorio","BQ PLUS MEDICAL CO., LTD","CN","0","0","und","1636.36","12000","OK","7.3"
"248980048501","ADAPT.P/RACORD(MACHO) 048501 CH3-6","matpri","ADAPTADOR","Obligatorio","MEDICOPLAST INTERNATIONAL GMBH","DE","0","0","und","80",,"PEDIR",
"248980048502","ADAPT.P/RACORD(MACHO)048502 CH6-10","matpri","ADAPTADOR","No es Componente","MEDICOPLAST INTERNATIONAL GMBH","DE","0","0","und","43",,"PEDIR",
"248980097319","ADAPT.P/RACORD(HEMBRA)97319 2.15 MM","matpri","ADAPTADOR","No es Componente","QOSINA CORPORATION","US","0","0","und","972",,"Atencion",
"248980097323","ADAPT.P/RACORD(MACHO) 97323 3.1 MM","matpri","ADAPTADOR","No es Componente","QOSINA CORPORATION","US","0","0","und","316",,"PEDIR",
"255011000000","TUBO P/OXIGENACION P/CRICOTOMIA (071091)","matpri","ADAPTADOR","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","0","0","und","43.17","33","PEDIR","0.8"
"801838000000","AG GRA G 18X1 1/2 (SHANDONG/SAKIRA)","matpri","AGUJA","Obligatorio","Weigao Medical International Co., Ltd","CN","30000","0","und","9089.86","122793","OK","13.5"
"267021000000","ALAMBRE ACERO SELDIN- 0.49X400 4310","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","25000","0","und","5347.33","8660","Atencion","1.6"
"267070006000","ALAMBRE ACERO 1.4310 C/B P/JJ CH6 1,05X664","matpri","ALAMBRE P/MANDRIL","Obligatorio","EPFLEX","DE","0","0","und","10","1690","OK","169"
"267070006706","ALAMBRE ACERO 1.4310 C/B P/JJ CH7x47CM 1,25X664 27006706","matpri","ALAMBRE P/MANDRIL","Obligatorio","EPFLEX","DE","0","0","und","6","600","OK","100"
"267092001988","ALAMBRE  0,3 x 709 ACERO 4310 - EPFLEX 92001988","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","315.8",,"PEDIR",
"267092001989","ALAMBRE  0,4 x 709 ACERO 4310 - EPFLEX 92001989","matpri","ALAMBRE P/MANDRIL","No es Componente","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","887.5",,"PEDIR",
"267092001990","ALAMBRE  0,5 x 709 ACERO 4310 - EPFLEX 92001990","matpri","ALAMBRE P/MANDRIL","No es Componente","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","264",,"PEDIR",
"267092001991","ALAMBRE  0,2 x 850 ACERO 4310 - EPFLEX 92001991","matpri","ALAMBRE P/MANDRIL","No es Componente","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","275","40","PEDIR","0.1"
"267092001995","ALAMBRE 0,3X709 ACERO (DAY ENG. WORKS)","matpri","ALAMBRE P/MANDRIL","Obligatorio","DAY ENGINEERING WORKS","IN","0","0","und","273.14","3088","OK","11.3"
"267092002000","ALAMBRE ACERO 4310 0,3 x 850","matpri","ALAMBRE P/MANDRIL","Obligatorio","DAY ENGINEERING WORKS","IN","0","0","und","1352.14","2710","PEDIR","2"
"267092002100","ALAMBRE ACERO 4310 0,4 x 850","matpri","ALAMBRE P/MANDRIL","Obligatorio","DAY ENGINEERING WORKS","IN","0","0","und","634.41","8021","OK","12.6"
"267092002200","ALAMBRE ACERO 4310 0,5 x 850","matpri","ALAMBRE P/MANDRIL","Obligatorio","DAY ENGINEERING WORKS","IN","0","0","und","492.86",,"PEDIR",
"267092002300","ALAMBRE ACERO 4310 1,5 x 470","matpri","ALAMBRE P/MANDRIL","No es Componente","DAY ENGINEERING WORKS","IN","0","0","und","382.41","9","PEDIR","0"
"267092730005","ALAMBRE 0.5X709 ACERO 4310","matpri","ALAMBRE P/MANDRIL","Obligatorio","DAY ENGINEERING WORKS","IN","0","0","und","450.76","8507","OK","18.9"
"267092730130","ALAMBRE 0.3X850  92730130","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","7000","0","und","4000",,"PEDIR",
"267092770010","ALAMBRE 1.0X370  92770010","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","600","0","und","97.79",,"PEDIR",
"267092770030","ALAMBRE 1.5X470  92770030","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","1000","0","und","176",,"PEDIR",
"267927300150","ALAMB.0.5X850 9273-000150","matpri","ALAMBRE P/MANDRIL","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","0","0","und","300.33",,"PEDIR",
"267680102810","ALMA (.028"") X 100CM - 21004431","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","500","0","und","456.56","2395","OK","5.2"
"267680103510","ALMA (.035"") X 100CM - 28003041","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","600","0","und","450.07","3135","OK","7"
"267680103515","ALMA (.035"") X 150CM - 27002724","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","4000","0","und","926.75","5251","OK","5.7"
"267680103810","ALMA (.038"") X100CM - 29003370","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","120","0","und","185.7","10","PEDIR","0.1"
"267680103815","ALMA (.038"") X150CM","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","300","0","und","194.2","3779","OK","19.5"
"267682102810","ALMA (.028"") X 150CM (Ø:0,35MM) - 28 00 30 42","matpri","Alma","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","600","0","und","535.53","1465","Atencion","2.7"
"824009000000","IDENTI-LOOP 2.5 MAXI ROJO","matpri","ARTICULOS P/ENVASAR","No Obligatorio","DEGANIA SILICONE LTD.","IL","0","0","rol","0.33",,"Atencion",
"509104001002","SOBRE PE 40X110X50 µm TROQUELADO TRANSVERSAL (TIP CORP)","matpri","BOLSA DE POLIETILENO","Obligatorio","Tip Corporation Sdn Bhd - Plant II","MY","30000","0","und","26456.5","292994","OK","11.1"
"509104001702","SOBRE PE 40X170X50 µm TROQUELADO TRANSVERSAL (TIP CORP)","matpri","BOLSA DE POLIETILENO","Obligatorio","Tip Corporation Sdn Bhd - Plant II","MY","10000","0","und","1000","70","PEDIR","0.1"
"509104002002","SOBRE PE 40X200X50 µm TROQUELADO TRANSVERSAL (TIP CORP)","matpri","BOLSA DE POLIETILENO","Obligatorio","Tip Corporation Sdn Bhd - Plant II","MY","13000","0","und","4470.06","43219","OK","9.7"
"509104003702","SOBRE PE 40x370x50µm TROQUELADO TRANSVERSAL (TIP.CORP.)","matpri","BOLSA DE POLIETILENO","Obligatorio","Tip Corporation Sdn Bhd - Plant II","MY","0","0","und","262.94","1529","Atencion","5.8"
"509104004901","SOBRE PE 40X500(+5)X40 µm TROQUELADO TRANSVERSAL (TIP CORP)","matpri","BOLSA DE POLIETILENO","Obligatorio","Tip Corporation Sdn Bhd - Plant II","MY","25000","0","und","4815.88","35427","OK","7.4"
"509107504803","SOBRE PE 75X480X60 µm TROQUELADO TRANSVERSAL (TIP CORP)","matpri","BOLSA DE POLIETILENO","Obligatorio","Tip Corporation Sdn Bhd - Plant II","MY","3500","0","und","961.55","1568","PEDIR","1.6"
"509115002403","SOBRE PE 150x240x60µm S/M (TIP.CORP.)","matpri","BOLSA DE POLIETILENO","No Obligatorio","Tip Corporation Sdn Bhd - Plant II","MY","0","0","und","1350.88","9900","OK","7.3"
"810070000220","CAN. PUNC. 22G 202B070220 GRADUADA","matpri","CANULA","No es Componente","PAJUNK","DE","100","0","und","180",,"Atencion",
"811752000000","CAN.PUNC. 17.5G 1000-0161","matpri","CANULA","No es Componente","PAJUNK","DE","10","0","und","83",,"Atencion",
"811754000000","CAN.PUN.3P 17.5G GRADUADA","matpri","CANULA","Obligatorio","PAJUNK","DE","0","0","und","16.07",,"PEDIR",
"811754018200","CANULA PUNCION 3P 17.5G IPA18200","matpri","CANULA","Obligatorio","DAY ENGINEERING WORKS","IN","0","0","und","62.29",,"PEDIR",
"812222000000","CAN.PUNC. 22G  201B070220","matpri","CANULA","Obligatorio","PAJUNK","DE","0","0","und","14",,"PEDIR",
"812222001000","CANULA DE PUNCION 22G  CN22220","matpri","CANULA","Obligatorio","DAY ENGINEERING WORKS","IN","0","0","und","61.11","206","PEDIR","3.4"
"841167000000","BRANULA MT G16 7CM  04206274","matpri","CANULA","Obligatorio","BRAUN MEDIC.DIVISION","DE","33000","0","und","749.24","6405","OK","8.5"
"841168000000","TEMPORARY PACING INTRODUCER PERCUTANEOUS INSERTION CATHETER 4Fx2.250"" OVER 17GA (REF:AC2026)","matpri","CANULA","Obligatorio","MARTECH MEDICAL PRODUCTS INC.","US","0","0","und","5865.61","11169","PEDIR","1.9"
"267999800002","ALAMBRE SEGUR.9998-115992","matpri","CINTA DE SEGURIDAD","No Obligatorio","FORT WAYNE METALS","US","2","0","Kg","1.44","6.3","PEDIR","4.4"
"268005000000","CINTA PARA UROSAN","consu","CINTA DE TELA","No es Componente","SIERRA LABORATORIES","US","0","0","und","310",,"Atencion",
"245010000000","MINI CLAMPS N140082","matpri","CLAMP","Obligatorio","QOSINA CORPORATION","US","4500","0","und","1434.94","20923","OK","14.6"
"245012000000","CLAMPS PP30 (AZUL)","matpri","CLAMP","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","4500","0","und","656.84","31663","OK","48.2"
"245014000000","Mini clamp (on-off clamp -white- RL6006)","matpri","CLAMP","Obligatorio","HAPOOL MEDICAL TECHNOLOGY","CN","0","0","und","1593.4","1500","PEDIR","0.9"
"245015000000","Clamp RL6004 (open small side clamp)","matpri","CLAMP","Obligatorio","HAPOOL MEDICAL TECHNOLOGY","CN","0","0","und","678.73","4798","Atencion","7.1"
"245086003180","CLAMPS","matpri","CLAMP","No es Componente","MAERSK MEDICAL (DINAMARCA)","DK","0","0","und","259",,"Atencion",
"267056000000","CLAMP P/ALAS DE SELDINGER","matpri","CLAMP","Obligatorio","PROMEPLA S.A.","FR","17000","0","und","2669.35","16754","OK","6.3"
"158200200000","EDENOL DBS","matpri","COMPUESTOS PVC","Obligatorio","INTER-HARZ GmbH","DE","200","0","Kg","23.18","368.04","OK","15.9"
"158200300000","PLASTOMOLL DOA","matpri","COMPUESTOS PVC","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","200","0","Kg","27.85","740.48","OK","26.6"
"158200400000","EDENOL D81","matpri","COMPUESTOS PVC","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","200","0","Kg","10.76","37.37","OK","3.5"
"158201000000","PLASTIFICANTE TOTM 51005354","matpri","COMPUESTOS PVC","Obligatorio","MERCURIUS Handelsgesellschaft mbH","DE","0","0","Kg","15.08","40.7","OK","2.7"
"247002000000","CONECTOR PVC BORLA PF0156","matpri","CONECTOR","No es Componente","INDUSTRIA BORLA S.P.A.","IT","0","0","und","48",,"PEDIR",
"247004000000","CONECTOR ESTANDARD 2.5 44-2535-025","matpri","CONECTOR","No es Componente","VBM MEDIZINTECHNIK GMBH","DE","0","0","und","1271",,"Atencion",
