"Proveedor","Codigo","Descripcion"
"Tecnica del plata ( es plaza pero llevarlo como exterior porque ellos lo piden al exterior )","931005100000","Caseina"
"Borla (Italia)","258011000000","Portador micro PF 0422 (va a quedar en desuso -se sustituye por proveedor chino )"
"Borla (Italia)","258013000000","IV filter 5110 ( transparente )"
"Alpingomma","270912000000","Succidares -LatexFree RR (en desuso , se sustituira por los chinos)"
"Martech","841168000000","Temporary pacing cath ref AC2026"
"Martech","84100160800000","branula ensobrada"
"Martech","84100160900000","CANULA MARTECH C/ALAS (ENSOBRADA)"
"Promepla","267056000000","Clamp p/alas Seldinger"
"KDL","260013000000","Male luer"
"SAKIRA","251001000000","llave 3 vias sakira lipidoresistentes"
"SAKIRA","801838000000","Ag. G 18x1½"
"SHANGHAI HEALTH MEDICAL CO","264080000000","tapon p /sonda"
"SHANGHAI HEALTH MEDICAL CO","22400100000000","TAPON P/SONDA 84425   ( el que inyectamos nosotros)"
"SHANGHAI HEALTH MEDICAL CO","260060100000","Roller carrito clamb (ABS)"
"SHANGHAI HEALTH MEDICAL CO","264075000000","Female Needle free conector SHANGAI"
"CHANGZHOU LONGYIN PLASTIC CO LTD","262016000000","Regulador de succion c/conexión plana"
"CHANGZHOU LONGYIN PLASTIC CO LTD","262017000000","Regulador de succion azul CH 8"
"CHANGZHOU LONGYIN PLASTIC CO LTD","262018000000","Regulador de succion negra CH 10"
"CHANGZHOU LONGYIN PLASTIC CO LTD","251024200000","Llave  1 via (nosotros le llamamos 2 vias )"
"SHANGHAI HEALTH MEDICAL CO","250313000000","GOTERO TRANSFUSOR ( DRIP CH )"
"BQ PLUS MEDICAL CO","247554000000","CONECT.MACHO ALIMENTAC.ENTERAL P/TUBOS øEXT. 3MM"
"BQ PLUS MEDICAL CO","247555000000","CONECT.HEMBRA ALIMENTAC.ENTERAL P/TUBOS øEXT.3MM"
"BQ PLUS MEDICAL CO","264081000000","TAPON P/CONECTOR HEMBRA ALIMENTACION ENTERAL"
"BQ PLUS MEDICAL CO","21200500000000","conector hembra alimentacion enteral sin tapon"
"BQ PLUS MEDICAL CO","247556000000","ADAPTADOR LUER LOCK ALIMENTACION ENTERAL"
"BQ PLUS MEDICAL CO","260015000002","Female Luer Lock 02 BQ Plus Medical"
"BQ PLUS MEDICAL CO","260016000004","Male Luer lock 04 BQ Plus Medical"
"BQ PLUS MEDICAL CO","250312000000","Gotero ambar c/filtro uv"
"BQ PLUS MEDICAL CO","247558000000","Conector luer macho c/filtro uv"
"BQ PLUS MEDICAL CO","247009810000","Conexión en Y c/filtro uv"
"BQ PLUS MEDICAL CO","247557000000","Jeringa enteral enfit 60 ml"
"BQ PLUS MEDICAL CO","250402000000","Gotero infusor N310"
"TRAVERSO- BONINI","249012000000","Gotero p/sangre TSL 1"
"TRAVERSO- BONINI","250308000000","Gotero aire AB12"
"HAEMOTRONIC 
/ COMED TRAVERSO (Italia)","247552000000","Conector 8100210000"
"HAEMOTRONIC 
/ COMED TRAVERSO (Italia)","244060000000","Tapón LL 8503361300"
"WIPAK","501018000000","Film ML PE 100 medi"
"WIPAK","502004000000","Papel 315mm 60g HS"
"WIPAK","502002100000","Papel 315mm AURINCO"
"SHANDONG WEIGAO 
Ver con Lourdes de GSSA( se le compra a sakira, no se compra mas a Shandong","854020200000","Jer.Luer-lock 3ml bulk  ( 27.12.2024 se van a pedir a sakira )"
"SHANDONG WEIGAO 
Ver con Lourdes de GSSA( se le compra a sakira, no se compra mas a Shandong","859051000000","JER.OMNI 5ML (CHINA)"
"BESPAK
(Pedir certificado de conformidad por lote)","266060000000","Válv.BK333303S blanca"
"BESPAK
(Pedir certificado de conformidad por lote)","226002000000","Válv.BK333308S transp."
"QOSINA","245010000000","Mini clamp N140082 (ver Hapool)"
"QOSINA","800000001345","Valvula de retencion 80105"
"QOSINA","800000001346","Conector macho 98653"
"QOSINA","800000001347","Tapon 99922"
"WELOC (Mercurius)","245012000000","Clamp PP30 azul (se usa para doble J)"
"PAJUNK
(Pedir certificado de conformidad por lote)","811753000000","Can. punción 2P 17,5G (se envasa solo para GSSA)"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236355020","Pur pellet 2363-55D-BA20  (polizen item 581040)"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236355040","Pur pellet 2363-55D-BA40"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236365020","Pur pellet 2363-65D-BA20  (polizen item 581019)"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236365040","Pur pellet 2363-65D-BA40"
"POLIZEN
(Pedir certificado de conformidad por lote)","101801300400","tub PU VE 1.8 X 2.7X400"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236375020","Pur pellet 2363-75D-BA20  (polizen item 581027)"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236380000","Pur pellet 2363-80AE virg. (polizen item 100066)"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236380040","Pur pellet 2363-80AE-BA40"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236390000","Pur pellet 2363-90AE virg.  (polizen item 100068)"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236390020","Pur pellet 2363-90AE-BA20"
"POLIZEN
(Pedir certificado de conformidad por lote)","159236390040","Pur pellet 2363-90AE-BA40"
"POLIZEN
(Pedir certificado de conformidad por lote)","159251000000","Pellethane 2363 -90 AE 60 %"
"CHEMOGAS","685011000000","Gas ETO 90/10"
"CHEMOGAS","800000000350","cilindros de acero"
"ALBIS PLASTIC (Mercurius)","155000000000","Makrolon"
"ALBIS PLASTIC (Mercurius)","150003000000","ABS Novodur HD M203FC"
"INT AIR (Mercurius)","255000000000","Pieza en ángulo 22M/15F-15M FEM80V"
"VELCRO (Mercurius)","227502600000","Velcro abrojo 50mm"
"AMACO (Mercurius)","633008000000","Ribbon TR-46-110-600-0-SW (TR46012)"
"EPFLEX (Mercurius)
(Pedir certificado de conformidad por lote)","164050040003","Ext. Cálculo 4H (75cm) Ch3"
"EPFLEX (Mercurius)
(Pedir certificado de conformidad por lote)","164050040004","Ext. Cálculo 4H (75cm) Ch4"
"EPFLEX (Mercurius)
(Pedir certificado de conformidad por lote)","164050040005","Ext. Cálculo 4H (75cm) Ch5"
"EPFLEX (Mercurius)
(Pedir certificado de conformidad por lote)","164050050003","Ext. Cálculo 5H (75cm) Ch3"
