"cod_articulo";"nom_articulo";"nro_lote";"cantidad";"fec_venc";"categoria";"PSComputerName";"RunspaceId";"PSShowComputerName"
"160247610088";"SCRAP PS (UNION)";"s03115261      ";"4.65";"1925-01-01";"CENTINELA (sin vencimiento)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"160216801588";"SCRAP BAJALENGUA/CARRITO";"s0722921       ";"0.60";"2046-11-12";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"160035500088";"SCRAP PVC INY RB1S1 (SH 81) + AZMB3";"s0237324       ";"21.38";"2049-06-07";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"160035500888";"SCRAP PVC RB1 T3M + BL3 o ES3/55 +BLANCO(EMBUDOS)";"s0244624       ";"19772.63";"2049-06-17";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"160035500788";"SCRAP PVC RB1 T3M (SH84)+VEMB2 o PVC ES 3/55 + VEMB3";"s0254624       ";"27.77";"2049-06-25";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"158081000000";"PVC RADIOPACO NO DOP";"24080017       ";"312.30";"2049-11-30";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"267009041571";"ESPIRAL 9.0MM/LO-20 (ID-9.5 S-1.5)";"13029901       ";"6.00";"2049-12-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"502002100000";"PAPEL 315MM 60 G HS -AURINCO(M)";"23100071       ";"21600.00";"2049-12-30";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"245010000000";"MINI CLAMPS N140082";"22120130       ";"4396.00";"2049-12-31";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"568035009000";"TUBO DE VIDRIO P/DJ REDONDEAR 0,9/CH5 14972-84269";"14039919       ";"3.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"568035012000";"TUBO DE VIDRIO P/DJ REDONDEAR 1,2/CH7 14972-92013";"14039916       ";"5.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"568035012000";"TUBO DE VIDRIO P/DJ REDONDEAR 1,2/CH7 14972-92013";"14039918       ";"6.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"568035014000";"TUBO DE VIDRIO P/DJ REDONDEAR 1,4/CH9 14972-54947";"14039915       ";"5.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"568047027000";"TUBO DE VIDRIO P/NELATON-RECTAL CH27 48626.03456";"14039907       ";"5.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"568170400000";"T. VIDRIO PTA. CILINDRICA EMBOLECT. CH 6 33059.33061";"14019937       ";"5.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"568190500000";"TUBO DE VIDRIO P/AFINAR EMBOLECTOMIA.CH8 33062-33881";"14039913       ";"6.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"568191000000";"TUBO DE VIDRIO P/CILINDRICA EMBOLECTOMIA CH7 33059-33884";"14039911       ";"10.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"568191000000";"TUBO DE VIDRIO P/CILINDRICA EMBOLECTOMIA CH7 33059-33884";"14039912       ";"6.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
"800000000741";"RESIST.P/EXTRUDER ø110X81(MM)230V";"10070168       ";"1.00";"2050-01-01";"FUTURO BASURA (sin vencimiento real)";"192.168.2.47";"8e608305-275c-4c78-956d-c5f7b754ca8c";"True"
